Temperature (T),Ca,Cb,res_nonlinear,res_lin_500K,res_lin_600K,res_affine
562.8056112224449,0.3463522362520842,0.6927044725042838,-1.8044374883174896e-09,-340.75342642598844,-2208.227232900914,-1513.631765001623
563.4468937875752,0.3461136190266388,0.692227238054384,-1.877197064459324e-09,-347.34540553895204,-2129.8324700128287,-1478.278080112959
564.0881763527054,0.345875670943056,0.6917513418859652,-2.1391315385699272e-09,-353.99181567077176,-2052.9600812601857,-1442.829593898216
564.7294589178357,0.3456383892944481,0.6912767785914992,-9.573355782777071e-06,-360.69243680012005,-1977.6039128955454,-1407.3104864570792
565.370741482966,0.3454017713481714,0.6908035426883821,-3.694731276482344e-08,-367.44704617165553,-1903.7577347026672,-1371.7447347464376
566.0120240480962,0.3451658144355726,0.6903316288882079,-3.9362930692732334e-08,-374.2554280307377,-1831.4155122693628,-1336.1562932575985
566.6533066132265,0.3449305159008609,0.6898610317884145,-2.0227162167429924e-09,-381.11736387624114,-1760.5711343639996,-1300.5689151071606
567.2945891783568,0.344695873061661,0.6893917461276867,-1.0460047633387148e-05,-388.03263831599907,-1691.218576712301,-1265.006261789904
567.935871743487,0.3444618832595514,0.6889237665171075,-2.4301698431372643e-09,-395.0010331475205,-1623.3517364363652,-1229.491791494051
568.5771543086172,0.3442285438937488,0.6884570877693437,2.824526745826006e-08,-402.0223371970351,-1556.9647072444204,-1194.0489484800312
569.2184368737475,0.3439958523158934,0.6879917046412628,-2.5320332497358322e-09,-409.09633648777526,-1492.0515044485219,-1158.7009757936705
569.8597194388777,0.3437638059585141,0.6875276119220824,-1.1417942005209625e-05,-416.22282011344214,-1428.6062292363495,-1123.4710293724509
570.501002004008,0.3435324021908931,0.6870648043964697,-1.186867302749306e-05,-423.4015753293934,-1366.6229313814547,-1088.3820824618886
571.1422845691383,0.3433016384450369,0.6866032768970834,-2.6775524020195007e-09,-430.6323923930613,-1306.095744620543,-1053.4570217332537
571.7835671342685,0.3430715121759367,0.686143024351111,-2.4010660126805305e-09,-437.91506474820926,-1247.0188918090425,-1018.7186536323585
572.4248496993988,0.3428420208210112,0.6856840416308431,-2.7794158086180687e-09,-445.2493838736409,-1189.3865408448037,-984.189601367385
573.0661322645291,0.3426131618322554,0.6852263236709527,-2.5174813345074654e-09,-452.6351433348391,-1133.1929179874714,-949.8923870990672
573.7074148296592,0.3423849327042316,0.6847698653914819,4.048764822073281e-06,-460.0721374548302,-1078.432270683581,-915.8494059949791
574.3486973947895,0.3421573309097181,0.6843146618195314,4.642060957849026e-09,-467.56016286880185,-1025.0989110502414,-882.0829596129179
574.9899799599198,0.341930353959205,0.6838607079142989,2.792512532323599e-08,-475.09901539333805,-973.187128307065,-848.6151914500844
575.63126252505,0.3417039993548121,0.6834079987285578,-7.639755494892597e-08,-482.688493155365,-922.6912762920838,-815.4681531870233
576.2725450901803,0.3414782646467594,0.6829565292926996,-2.764863893389702e-09,-490.32839497913665,-873.6057283470873,-782.6637718926474
576.9138276553106,0.3412531473559149,0.6825062946945603,4.49830258730799e-06,-498.0185204506415,-825.9248791178688,-750.2238520267573
