region_id,depth,n_samples,criterion,criterion_score,remainder_score,remainder_max,remainder_mean,projected_score,projected_max,projected_mean,stop_reason,anchor_row_index,T_low,T_high,T_center,anchor_T,Cao_low,Cao_high,Cao_center,anchor_Cao,anchor_Ca,data_Ca_min,data_Ca_max,anchor_Cb,data_Cb_min,data_Cb_max,anchor_Cc,data_Cc_min,data_Cc_max
30,6,6,projection,0.8476716957522967,0.7262960971472694,0.7262960971472694,0.38766867061565335,0.8476716957522967,0.8476716957522967,0.41523388434535496,tolerance_met,443,441.7121109037385,447.683296307793,444.69770360576575,444.335339081238,0.866666666667,0.8936937856475,0.88018022615725,0.88455406218,0.324807297322239,0.3110598491262775,0.324807297322239,0.880506470284408,0.880506470284408,0.8954290288383769,1.679240294573353,1.656856456742375,1.679240294573353
31,7,3,projection,0.7441831511026749,0.58207066877344,0.58207066877344,0.3547954573172471,0.7441831511026749,0.7441831511026749,0.3694419269423103,tolerance_met,457,441.7121109037385,454.48897160863896,448.10054125618876,447.770743590408,0.8936937856475,0.9473227503065,0.920508267977,0.936129542952,0.3579372158870303,0.3480538474365254,0.3579372158870303,0.8436153458700872,0.8433037062649346,0.8553098746113885,1.7345769811948826,1.7170351880828894,1.7350444406025405
32,7,3,projection,1.6664578907516443,1.2366268077767018,1.2366268077767018,0.7273050767442252,1.6664578907516443,1.6664578907516443,0.8720167941068743,insufficient_data,441,441.7121109037385,451.201134512403,446.45662270807077,444.271948055359,0.9473227503065,1.0,0.97366137515325,0.971748277318,0.3854459885293816,0.3663372080393511,0.4040328432223842,0.8273954224227806,0.8127063217387634,0.8321605555147026,1.7589068663658378,1.7517591667279462,1.7809405173918524
33,7,3,projection,0.30450864647662,0.38440897640850835,0.38440897640850835,0.1473269184853052,0.30450864647662,0.30450864647662,0.11904136946426054,tolerance_met,471,442.8963065496065,460.0,451.44815327480325,451.818181818182,1.0,1.013692409441,1.0068462047205,1.0,0.4008621827097099,0.4008621827097099,0.4039274968379955,0.8017243654195154,0.8017243654195154,0.8078549936758095,1.7974134518707745,1.7882175094861954,1.7974134518707745
34,8,5,projection,0.5081510788299965,0.4855308573212369,0.4855308573212369,0.2762474202745352,0.5081510788299965,0.5081510788299965,0.2799288814203237,tolerance_met,456,442.8963065496065,450.347059169187,446.62168285939674,447.583116876608,1.013692409441,1.0487164624005,1.03120443592075,1.041547863096,0.4342476395856679,0.421526335028915,0.4372087212914777,0.7853995529794955,0.7845440513808223,0.7978589792831059,1.821900670530837,1.8032115310753225,1.8231839229287004
35,6,5,projection,1.9951141505978285,1.4266761156502525,1.4266761156502525,0.8697914664463952,1.9951141505978285,1.9951141505978285,0.9220678275306454,insufficient_improvement,475,442.8963065496065,460.0,451.44815327480325,452.514453720031,1.0487164624005,1.08889059454925,1.068803528474875,1.065656742699,0.4490743731890784,0.4328461803839116,0.464071547300239,0.7668352609801118,0.7512104657065374,0.7772550858930036,1.8497471085298096,1.8341173711604428,1.8731843014402236
36,6,4,projection,0.5464984380605529,0.5158128362081698,0.5158128362081698,0.35357158629352625,0.5464984380605529,0.5464984380605529,0.3603423932956389,tolerance_met,479,442.8963065496065,460.0,451.44815327480325,453.891174541133,1.08889059454925,1.1181278130585,1.103509203803875,1.104878868744,0.4780535740543359,0.4658602371480671,0.4804037919457772,0.7463494106204855,0.7412689267514739,0.7536083820657065,1.8804758840691784,1.8695874269015165,1.8880966098727936
37,6,2,projection,1.0074679123872556,0.748827712881166,0.748827712881166,0.3744138564406967,1.0074679123872556,1.0074679123872556,0.5037339561937415,insufficient_data,473,442.8963065496065,460.0,451.44815327480325,451.826288864333,1.1181278130585,1.133333333333,1.1257305731957499,1.128490642431,0.4976514254186874,0.4890763718455937,0.4976514254186874,0.7383215659751989,0.7330644880314506,0.7383215659751989,1.8925176510371136,1.8925176510371136,1.9004032679529557
38,6,4,projection,1.2040945721441858,1.3474184932236994,1.3474184932236994,0.3635691780018817,1.2040945721441858,1.2040945721441858,0.3297007957154392,insufficient_improvement,448,442.8963065496065,449.03920189611597,445.96775422286123,446.274164327533,1.133333333333,1.1816133569285001,1.1574733451307502,1.138382937573,0.5090631033155254,0.5045379332183425,0.5363716925882074,0.741360331485147,0.730696337604457,0.7424091997707234,1.887959502772328,1.8863862003439344,1.903955493593336
39,5,3,projection,3.988936099261082,2.2455315698584855,2.2455315698584855,1.1190130486073713,3.988936099261082,3.988936099261082,1.8877735275852576,insufficient_data,460,442.8963065496065,460.0,451.44815327480325,448.313036281798,1.1816133569285001,1.2,1.19080667846425,1.192203190071,0.5501492940954761,0.5463875919938672,0.5501492940954761,0.7158922080488561,0.6975803132919335,0.7158922080488561,1.926161687926668,1.926161687926668,1.953629530062197
40,8,2,projection,0.05416489114907108,0.0494774327645473,0.0494774327645473,0.024738716382387338,0.05416489114907108,0.05416489114907108,0.02708244557453554,tolerance_met,465,447.683296307793,452.88166302633726,450.2824796670651,450.0,0.866666666667,0.8724298359289999,0.869548251298,0.866666666667,0.3092579606519087,0.3081268603841925,0.3092579606519087,0.8851825879698227,0.8829203874342192,0.8851825879698227,1.6722261180452684,1.6722261180452684,1.6756194188485882
41,8,2,projection,0.15738374709599157,0.16834110179320305,0.16834110179320305,0.08417055089665837,0.15738374709599157,0.15738374709599157,0.07869187354822316,tolerance_met,462,447.683296307793,452.88166302633726,450.2824796670651,449.58035989117,0.8724298359289999,0.8936937856475,0.88306181078825,0.886826872429,0.3229677227343185,0.3181008138314993,0.3229677227343185,0.8722817006107464,0.8722817006107464,0.8798156172811316,1.6915774490839353,1.6802765740783692,1.6915774490839353
42,6,4,projection,0.840583974631727,0.7261695358231464,0.7261695358231464,0.4808390100255906,0.840583974631727,0.840583974631727,0.49131190386233925,tolerance_met,478,449.03920189611597,460.0,454.519600948058,453.343445222368,1.133333333333,1.1816133569285001,1.1574733451307502,1.15072709464,0.5140191843348435,0.5014236344358994,0.5142803290432186,0.726584179389722,0.7173236227726005,0.7385824839760162,1.9101237309154344,1.892126274035934,1.9240145658411807
43,8,5,projection,0.6785771850650235,0.7618259747048342,0.7618259747048342,0.45839587001132714,0.6785771850650235,0.6785771850650235,0.39709980238151277,tolerance_met,489,450.347059169187,460.0,455.1735295845935,456.729098116923,1.013692409441,1.0487164624005,1.03120443592075,1.030568072517,0.4201500368034147,0.4083338008613033,0.431961253143346,0.7791639285730863,0.7752837551487723,0.789282782840638,1.8312541071404989,1.8160758257390588,1.8370743672768808
44,5,2,projection,5.89336886067008,4.492840448644529,4.492840448644529,2.246420224322833,5.89336886067008,5.89336886067008,2.9466844303351536,insufficient_data,481,450.980503020174,460.0,455.490251510087,455.073186488132,0.8,0.866666666667,0.8333333333335,0.832529476523,0.2839471255583423,0.2606235144072087,0.2839471255583423,0.9028352980707696,0.9028352980707696,0.9212470288145276,1.6457470528938882,1.6181294567782634,1.6457470528938882
45,7,3,projection,1.451324706512196,1.2686745398020776,1.2686745398020776,0.5920779647201849,1.451324706512196,1.451324706512196,0.6210647193711338,insufficient_data,487,451.201134512403,460.0,455.6005672562015,456.550360979721,0.9473227503065,1.0,0.97366137515325,0.965582352986,0.3730954109099494,0.3730954109099494,0.3863787189060247,0.8150261158480111,0.7994242060641776,0.8171726029746899,1.7774608262280394,1.7742410955379286,1.8008636909037978
46,7,2,projection,1.028204782564103,1.3519342362282032,1.3519342362282032,0.6759671181144427,1.028204782564103,1.028204782564103,0.5141023912822789,insufficient_data,494,452.88166302633726,460.0,456.44083151316863,459.085122668965,0.866666666667,0.8936937856475,0.88018022615725,0.889116574211,0.3186516008066133,0.3115374143160688,0.3186516008066133,0.859070053191138,0.859070053191138,0.8768005254680779,1.7113949202132486,1.6847992117978534,1.7113949202132486
47,7,3,projection,2.4319073016811217,2.4475746297684964,2.4475746297684964,1.1221174934980052,2.4319073016811217,2.4319073016811217,1.1511650712674661,insufficient_data,490,454.48897160863896,460.0,457.2444858043195,456.749684762807,0.8936937856475,0.9473227503065,0.920508267977,0.926871710667,0.3458118623817854,0.3264831016791135,0.3565517322251733,0.837880303429683,0.8243263237882822,0.8564242091904302,1.7431795448555312,1.7153636862144566,1.7635105143175445
