model,run,mu_rxn,mu_mb,training_time_sec,rmse_total,violation_pl,violation_original_nonlinear,violation_rxn,violation_mb,prediction_time_sec
PINN,37,3e-06,0.001,9.805239979177713,0.0941978379341103,10.309449905804321,12.65721682278446,25.229374524598168,0.08505912097074989,0.0003792261704802513
PINN,38,3e-06,0.001,9.724332054145634,0.1155796088583522,17.404323325410502,21.076441899185063,42.03992268862743,0.11296110974269431,0.00037233298644423485
PINN,39,3e-06,0.001,9.726877170614898,0.09257334701206571,5.302077197652441,2.8627564222348436,5.683351125751166,0.04216171871852148,0.000361462589353323
PINN,40,3e-06,0.001,9.682188688777387,0.054240279374472684,4.939097409397684,5.800353469610963,11.530195766622347,0.0705111725995803,0.00035995617508888245
PINN,41,3e-06,0.001,9.791345520876348,0.10085240284853768,9.121720328205587,10.939007718330775,21.7940609293055,0.08395450735605045,0.0003856508992612362
PINN,42,3e-06,0.001,9.613793676253408,0.11926165811327115,13.93388057150682,17.124348827951252,34.137564225499936,0.11113343040257424,0.00035392865538597107
PINN,43,3e-06,0.001,9.52887409972027,0.1782246504343212,13.856612032972631,18.81019960520942,37.27085892542717,0.34954028499166007,0.00036143604665994644
PINN,44,3e-06,0.001,9.579773700796068,0.07940092603281404,9.014338533858638,10.993881913321118,21.893952531925986,0.09381129471624622,0.00045173848047852516
PINN,45,3e-06,0.001,9.619322611950338,0.10659845418127979,7.710030761415593,7.611538141677949,15.060691530895022,0.16238475246087716,0.00036719581112265587
PINN,46,3e-06,0.001,9.729220899753273,0.07380947922283758,5.940962473674473,6.812530760826765,13.55024286504782,0.07481865660570756,0.0003644851967692375
PINN,47,3e-06,0.001,9.821563310921192,0.12845452431763543,7.027978614345,7.298141471606282,14.455165480592276,0.14111746262028854,0.0003606327809393406
PINN,48,3e-06,0.001,9.719743649009615,0.0622371842235424,8.75446195945279,10.64367650716271,21.218062727095933,0.06929028722948562,0.0003736298531293869
PINN,49,3e-06,0.001,9.575618023052812,0.11474109601830189,12.863838882949775,14.01640330712549,27.898250317665205,0.1345562965857754,0.0003642374649643898
KKThPINN,0,0.0,0.0,27.000318555161357,0.04247411475096201,4.431422549172941e-14,1.3888477628042428,2.777695525608485,5.844997688467736e-16,0.0027780579403042793
KKThPINN,1,0.0,0.0,26.921289379242808,0.030859600823042947,4.6626101672419445e-14,0.4862703779275755,0.9725407558551504,5.616422359868439e-16,0.0027691549621522427
KKThPINN,2,0.0,0.0,27.367673174943775,0.05299855540164876,7.126652209542365e-14,1.9878200268130883,3.975640053626176,5.975612161953049e-16,0.002849507611244917
KKThPINN,3,0.0,0.0,26.970219490118325,0.03880518452827135,2.9476421303797906e-14,0.5375165023146149,1.0750330046292291,5.583768741497111e-16,0.0028127403929829597
KKThPINN,4,0.0,0.0,26.814880228135735,0.03589156415740283,5.968101829727642e-14,0.5324484029782137,1.0648968059564268,5.355193412897814e-16,0.002794815693050623
KKThPINN,5,0.0,0.0,27.236957620829344,0.03469851646542459,4.7439176769865514e-14,1.4564000777981787,2.912800155596357,4.702121045471251e-16,0.002818166743963957
KKThPINN,6,0.0,0.0,27.573730124160647,0.035339465444233394,6.34394497718163e-14,0.9419205601836547,1.8838411203673089,5.616422359868439e-16,0.0027374527417123318
KKThPINN,7,0.0,0.0,27.28390035778284,0.03649911836825801,4.7765712953578795e-14,0.8886155544900817,1.777231108980163,4.702121045471251e-16,0.0027569658122956753
KKThPINN,8,0.0,0.0,27.475135114975274,0.032702472610764054,6.286474608848092e-14,0.4282883249181606,0.8565766498363208,5.06131084755586e-16,0.0027591860853135586
KKThPINN,9,0.0,0.0,27.17813134426251,0.033147049518030366,4.192398062694819e-14,1.074167615241547,2.1483352304830934,5.028657229184532e-16,0.0027616419829428196
KKThPINN,10,0.0,0.0,26.83089016471058,0.03345938383935158,6.672440377997191e-14,1.6472664337680702,3.29453286753614,5.322539794526486e-16,0.0027224584482610226
KKThPINN,11,0.0,0.0,27.36772585613653,0.03469911098190677,4.406279263027018e-14,0.49199531546984804,0.9839906309396954,5.355193412897814e-16,0.0027850326150655746
KKThPINN,12,0.0,0.0,26.900250021833926,0.02859784487286404,3.109604077501578e-14,0.81368271432911,1.6273654286582195,4.571506571985938e-16,0.00268363393843174
KKThPINN,13,0.0,0.0,26.79650691477582,0.02862721512342252,4.242358098802951e-14,1.4816920083495373,2.963384016699074,4.440892098500626e-16,0.002705959603190422
KKThPINN,14,0.0,0.0,27.157675296999514,0.028771921271530665,4.282522049399685e-14,0.353486228258178,0.7069724565163554,5.224578939412502e-16,0.002837244886904955
